FIPS,State,County,Population_2023
8063,CO,Kit Carson County,6994.0
8065,CO,Lake County,7365.0
8067,CO,La Plata County,56407.0
8069,CO,Larimer County,370771.0
8071,CO,Las Animas County,14348.0
8073,CO,Lincoln County,5480.0
8075,CO,Logan County,20619.0
8077,CO,Mesa County,159681.0
8079,CO,Mineral County,944.0
8081,CO,Moffat County,13327.0
8083,CO,Montezuma County,26531.0
8085,CO,Montrose County,44156.0
8087,CO,Morgan County,29524.0
8089,CO,Otero County,18136.0
8091,CO,Ouray County,5176.0
8093,CO,Park County,18117.0
8095,CO,Phillips County,4476.0
8097,CO,Pitkin County,16640.0
8099,CO,Prowers County,11751.0
8101,CO,Pueblo County,169422.0
8103,CO,Rio Blanco County,6569.0
8105,CO,Rio Grande County,11188.0
8107,CO,Routt County,25064.0
8109,CO,Saguache County,6688.0
8111,CO,San Juan County,802.0
8113,CO,San Miguel County,7868.0
8115,CO,Sedgwick County,2299.0
8117,CO,Summit County,30465.0
8119,CO,Teller County,24617.0
8121,CO,Washington County,4855.0
8123,CO,Weld County,359442.0
8125,CO,Yuma County,9862.0
9000,CT,Connecticut,3617176.0
9110,CT,Capitol Planning Region,975328.0
9120,CT,Greater Bridgeport Planning Region,327651.0
9130,CT,Lower Connecticut River Valley Planning Region,176215.0
9140,CT,Naugatuck Valley Planning Region,456128.0
9150,CT,Northeastern Connecticut Planning Region,96692.0
9160,CT,Northwest Hills Planning Region,113463.0
9170,CT,South Central Connecticut Planning Region,568158.0
9180,CT,Southeastern Connecticut Planning Region,279634.0
9190,CT,Western Connecticut Planning Region,623907.0
10000,DE,Delaware,1031890.0
10001,DE,Kent County,189789.0
10003,DE,New Castle County,578592.0
10005,DE,Sussex County,263509.0
11000,DC,District of Columbia,678972.0
11001,DC,District of Columbia,678972.0
12000,FL,Florida,22610726.0
12001,FL,Alachua County,285994.0
12003,FL,Baker County,28368.0
12005,FL,Bay County,190769.0
12007,FL,Bradford County,27858.0
12009,FL,Brevard County,643979.0
12011,FL,Broward County,1962531.0
12013,FL,Calhoun County,13470.0
12015,FL,Charlotte County,206134.0
12017,FL,Citrus County,166696.0
12019,FL,Clay County,232439.0
12021,FL,Collier County,404310.0
12023,FL,Columbia County,73063.0
12027,FL,DeSoto County,35979.0
12029,FL,Dixie County,17465.0
12031,FL,Duval County,1030822.0
12033,FL,Escambia County,326928.0
12035,FL,Flagler County,131439.0
12037,FL,Franklin County,12594.0
12039,FL,Gadsden County,43833.0
12041,FL,Gilchrist County,19587.0
12043,FL,Glades County,12786.0
12045,FL,Gulf County,15693.0
12047,FL,Hamilton County,13471.0
12049,FL,Hardee County,25760.0
12051,FL,Hendry County,43333.0
12053,FL,Hernando County,212807.0
12055,FL,Highlands County,107614.0
12057,FL,Hillsborough County,1535564.0
12059,FL,Holmes County,19944.0
12061,FL,Indian River County,169795.0
12063,FL,Jackson County,48622.0
12065,FL,Jefferson County,15450.0
12067,FL,Lafayette County,8078.0
12069,FL,Lake County,424462.0
12071,FL,Lee County,834573.0
12073,FL,Leon County,296913.0
12075,FL,Levy County,46545.0
12077,FL,Liberty County,7706.0
12079,FL,Madison County,18519.0
12081,FL,Manatee County,441095.0
12083,FL,Marion County,409959.0
12085,FL,Martin County,163315.0
12086,FL,Miami-Dade County,2686867.0
12087,FL,Monroe County,80614.0
12089,FL,Nassau County,101501.0
12091,FL,Okaloosa County,218464.0
12093,FL,Okeechobee County,41427.0
12095,FL,Orange County,1471416.0
12097,FL,Osceola County,437784.0
12099,FL,Palm Beach County,1533801.0
12101,FL,Pasco County,632996.0
12103,FL,Pinellas County,961596.0
12105,FL,Polk County,818330.0
12107,FL,Putnam County,75955.0
12109,FL,St. Johns County,320110.0
12111,FL,St. Lucie County,373586.0
12113,FL,Santa Rosa County,203162.0
12115,FL,Sarasota County,469013.0
12117,FL,Seminole County,484271.0
12119,FL,Sumter County,151565.0
12121,FL,Suwannee County,46130.0
12123,FL,Taylor County,21582.0
12125,FL,Union County,15532.0
12127,FL,Volusia County,590357.0
12129,FL,Wakulla County,36449.0
12131,FL,Walton County,86354.0
12133,FL,Washington County,25602.0
13000,GA,Georgia,11029227.0
13001,GA,Appling County,18457.0
13003,GA,Atkinson County,8293.0
13005,GA,Bacon County,11124.0
13007,GA,Baker County,2743.0
13009,GA,Baldwin County,43396.0
13011,GA,Banks County,19789.0
13013,GA,Barrow County,92792.0
13015,GA,Bartow County,115041.0
13017,GA,Ben Hill County,17128.0
13019,GA,Berrien County,18570.0
13021,GA,Bibb County,156512.0
13023,GA,Bleckley County,12465.0
13025,GA,Brantley County,18401.0
13027,GA,Brooks County,16245.0
13029,GA,Bryan County,49739.0
13031,GA,Bulloch County,84327.0
13033,GA,Burke County,24438.0
13035,GA,Butts County,26887.0
13037,GA,Calhoun County,5457.0
13039,GA,Camden County,58118.0
13043,GA,Candler County,11059.0
13045,GA,Carroll County,127098.0
13047,GA,Catoosa County,68910.0
13049,GA,Charlton County,12934.0
13051,GA,Chatham County,303655.0
13053,GA,Chattahoochee County,8661.0
13055,GA,Chattooga County,25222.0
13057,GA,Cherokee County,286602.0
13059,GA,Clarke County,129933.0
13061,GA,Clay County,2853.0
13063,GA,Clayton County,298300.0
13065,GA,Clinch County,6746.0
13067,GA,Cobb County,776743.0
13069,GA,Coffee County,43317.0
13071,GA,Colquitt County,46167.0
13073,GA,Columbia County,165162.0
13075,GA,Cook County,17714.0
13077,GA,Coweta County,155892.0
13079,GA,Crawford County,12277.0
13081,GA,Crisp County,19631.0
13083,GA,Dade County,16165.0
13085,GA,Dawson County,31732.0
13087,GA,Decatur County,29087.0
13089,GA,DeKalb County,762992.0
13091,GA,Dodge County,19776.0
13093,GA,Dooly County,10981.0
13095,GA,Dougherty County,82645.0
13097,GA,Douglas County,149160.0
13099,GA,Early County,10563.0
13101,GA,Echols County,3709.0
13103,GA,Effingham County,71541.0
13105,GA,Elbert County,20013.0
13107,GA,Emanuel County,23119.0
13109,GA,Evans County,10754.0
13111,GA,Fannin County,25955.0
13113,GA,Fayette County,123351.0
13115,GA,Floyd County,100113.0
13117,GA,Forsyth County,272887.0
13119,GA,Franklin County,24782.0
13121,GA,Fulton County,1079105.0
13123,GA,Gilmer County,32860.0
13125,GA,Glascock County,2954.0
13127,GA,Glynn County,86172.0
13129,GA,Gordon County,59757.0
13131,GA,Grady County,26066.0
13133,GA,Greene County,20722.0
13135,GA,Gwinnett County,983526.0
13137,GA,Habersham County,48757.0
13139,GA,Hall County,217267.0
13141,GA,Hancock County,8676.0
13143,GA,Haralson County,32038.0
13145,GA,Harris County,36654.0
13147,GA,Hart County,27556.0
13149,GA,Heard County,12034.0
13151,GA,Henry County,254613.0
13153,GA,Houston County,171974.0
13155,GA,Irwin County,9120.0
13157,GA,Jackson County,88615.0
13159,GA,Jasper County,16455.0
13161,GA,Jeff Davis County,14906.0
13163,GA,Jefferson County,15183.0
13165,GA,Jenkins County,8627.0
13167,GA,Johnson County,9282.0
13169,GA,Jones County,28969.0
13171,GA,Lamar County,20401.0
13173,GA,Lanier County,10452.0
13175,GA,Laurens County,49941.0
13177,GA,Lee County,33872.0
13179,GA,Liberty County,69210.0
13181,GA,Lincoln County,7879.0
13183,GA,Long County,19594.0
13185,GA,Lowndes County,120712.0
13187,GA,Lumpkin County,35258.0
13189,GA,McDuffie County,21799.0
13191,GA,McIntosh County,11501.0
13193,GA,Macon County,11817.0
13195,GA,Madison County,32191.0
13197,GA,Marion County,7440.0
13199,GA,Meriwether County,20931.0
13201,GA,Miller County,5747.0
13205,GA,Mitchell County,21114.0
13207,GA,Monroe County,30625.0
13209,GA,Montgomery County,8761.0
13211,GA,Morgan County,21460.0
13213,GA,Murray County,41035.0
13215,GA,Muscogee County,201877.0
13217,GA,Newton County,120135.0
13219,GA,Oconee County,44182.0
13221,GA,Oglethorpe County,15754.0
13223,GA,Paulding County,183164.0
13225,GA,Peach County,28805.0
13227,GA,Pickens County,35969.0
13229,GA,Pierce County,20425.0
13231,GA,Pike County,20461.0
13233,GA,Polk County,44223.0
13235,GA,Pulaski County,10095.0
13237,GA,Putnam County,23129.0
13239,GA,Quitman County,2280.0
13241,GA,Rabun County,17442.0
13243,GA,Randolph County,6078.0
13245,GA,Richmond County,205414.0
13247,GA,Rockdale County,95987.0
13249,GA,Schley County,4526.0
13251,GA,Screven County,14174.0
13253,GA,Seminole County,9092.0
13255,GA,Spalding County,69946.0
13257,GA,Stephens County,27228.0
13259,GA,Stewart County,4674.0
13261,GA,Sumter County,28890.0
13263,GA,Talbot County,5718.0
13265,GA,Taliaferro County,1609.0
13267,GA,Tattnall County,24296.0
13269,GA,Taylor County,7758.0
13271,GA,Telfair County,10920.0
13273,GA,Terrell County,8718.0
13275,GA,Thomas County,45649.0
13277,GA,Tift County,41554.0
13279,GA,Toombs County,27040.0
13281,GA,Towns County,13035.0
13283,GA,Treutlen County,6341.0
13285,GA,Troup County,70742.0
13287,GA,Turner County,8909.0
13289,GA,Twiggs County,7691.0
13291,GA,Union County,27124.0
13293,GA,Upson County,28263.0
13295,GA,Walker County,69489.0
13297,GA,Walton County,106702.0
13299,GA,Ware County,36243.0
13301,GA,Warren County,5106.0
13303,GA,Washington County,19820.0
13305,GA,Wayne County,31373.0
13307,GA,Webster County,2337.0
13309,GA,Wheeler County,7081.0
13311,GA,White County,29026.0
13313,GA,Whitfield County,103687.0
13315,GA,Wilcox County,8779.0
13317,GA,Wilkes County,9518.0
13319,GA,Wilkinson County,8725.0
13321,GA,Worth County,20273.0
15000,HI,Hawaii,1435138.0
15001,HI,Hawaii County,207615.0
